basebrgy	basehhno	basewman	BRGAY02	HHNUMB02	WOMAN02	uncmomid	MOMCH02	linenumb	relhead	relmom	relindex	paidcash	sex	monbirth	yearbirt	age	resident	gradecom	inschool	worknow	workpast
13	409	409	13	409	409	11887	1	1	0	1	2	-9	1	11	1954	47	1	6	0	1	-9
13	409	409	13	409	409	11887	1	2	1	32	32	-9	2	9	1953	48	1	6	0	1	-9
13	409	409	13	409	409	11887	1	3	5	5	7	-9	2	3	1980	22	1	10	0	0	0
13	409	409	13	409	409	11887	1	4	5	5	7	-9	2	3	1982	20	1	11	0	0	0
13	409	409	13	409	409	11887	1	5	4	4	34	-9	1	11	1983	18	1	9	0	0	0
13	409	409	13	409	409	11887	1	6	5	5	7	-9	2	9	1989	12	1	5	1	0	0
13	409	409	13	409	409	11887	1	7	18	3	11	0	2	7	1922	79	1	11	0	0	0
13	338	338	13	338	338	11824	1	1	0	1	2	-9	1	10	1964	37	1	4	0	1	-9
13	338	338	13	338	338	11824	1	2	1	32	32	-9	2	9	1963	38	1	0	0	1	-9
13	338	338	13	338	338	11824	1	3	4	4	34	-9	1	12	1983	18	1	9	1	0	1
13	338	338	13	338	338	11824	1	4	5	5	7	-9	2	2	1985	17	1	10	1	0	0
13	338	338	13	338	338	11824	1	5	5	5	7	-9	2	8	1988	13	1	6	1	0	0
13	338	338	13	338	338	11824	1	6	5	5	7	-9	2	12	1991	10	1	3	1	0	0
13	478	478	13	4001	478	11949	2	1	0	1	38	-9	1	2	1946	56	1	4	0	1	-9
13	478	478	13	4001	478	11949	2	2	1	32	32	-9	2	10	1950	51	1	5	0	1	-9
13	478	478	13	4001	478	11949	2	3	4	39	43	-9	1	1	1984	18	1	11	0	1	-9
13	422	422	13	422	422	11898	1	1	0	1	2	-9	1	1	1944	58	1	13	0	1	-9
13	422	422	13	422	422	11898	1	2	1	32	32	-9	2	11	1954	47	1	13	0	1	-9
13	422	422	13	422	422	11898	1	3	5	5	7	-9	2	8	1979	22	1	15	1	0	0
13	422	422	13	422	422	11898	1	4	4	4	6	-9	1	10	1980	21	1	13	0	1	-9
13	422	422	13	422	422	11898	1	5	4	4	6	-9	1	5	1982	19	1	10	1	0	0
13	422	422	13	422	422	11898	1	6	4	4	34	-9	1	11	1983	18	1	12	0	1	-9
13	422	422	13	422	422	11898	1	7	5	5	7	-9	2	5	1986	15	1	9	1	0	0
13	422	422	13	422	422	11898	1	8	4	4	6	-9	1	5	1992	9	1	3	1	0	0
13	422	422	13	422	422	11898	1	9	25	14	13	0	2	-8	1947	54	1	3	0	1	-9
13	173	173	13	173	173	11711	1	1	0	1	2	-9	1	4	1942	59	1	3	0	1	-9
13	173	173	13	173	173	11711	1	2	1	32	32	-9	2	11	1957	44	1	10	0	1	-9
13	173	173	13	173	173	11711	1	3	5	5	7	-9	2	7	1980	21	1	11	0	1	-9
13	173	173	13	173	173	11711	1	4	5	5	34	-9	2	7	1983	18	1	11	0	0	0
13	173	173	13	173	173	11711	1	5	4	4	6	-9	1	4	1988	13	1	6	1	0	0
13	173	173	13	173	173	11711	1	6	4	4	6	-9	1	10	1993	8	1	1	1	0	0
13	341	341	13	2586	341	11827	1	1	0	1	2	-9	1	7	1949	52	1	6	0	1	-9
13	341	341	13	2586	341	11827	1	2	1	32	32	-9	2	12	1951	50	1	9	0	1	-9
13	341	341	13	2586	341	11827	1	3	5	5	7	-9	2	8	1981	20	1	14	1	0	0
13	341	341	13	2586	341	11827	1	4	5	5	34	0	2	9	1983	18	3	11	0	0	0
13	341	341	13	2586	341	11827	1	5	9	9	5	0	2	12	2001	0	3	-9	-9	-9	-9
13	545	545	13	545	545	11984	1	1	0	1	2	-9	1	3	1954	47	1	11	0	1	-9
13	545	545	13	545	545	11984	1	2	1	32	32	-9	2	3	1959	42	1	11	0	1	-9
13	545	545	13	545	545	11984	1	3	5	5	7	-9	2	3	1983	19	1	12	1	1	-9
13	545	545	13	545	545	11984	1	4	5	5	34	-9	2	3	1984	17	1	11	1	1	-9
13	545	545	13	545	545	11984	1	5	5	5	7	-9	2	11	1985	16	1	10	1	1	-9
13	545	545	13	545	545	11984	1	6	4	4	6	-9	1	9	1989	12	1	5	1	1	-9
13	545	545	13	545	545	11984	1	7	5	5	7	-9	2	3	1991	10	1	3	1	1	-9
13	545	545	13	545	545	11984	1	8	5	5	7	-9	2	3	1995	6	1	0	1	0	0
13	545	545	13	545	545	11984	1	9	4	4	6	-9	1	3	1998	3	1	-9	-9	-9	-9
13	328	328	13	2213	328	11816	1	1	0	1	2	-9	1	11	1967	34	1	9	0	1	-9
13	328	328	13	2213	328	11816	1	2	1	32	32	-9	2	7	1967	34	1	10	0	1	-9
13	328	328	13	2213	328	11816	1	3	4	4	34	-9	1	9	1983	18	1	8	1	0	0
13	328	328	13	2213	328	11816	1	4	4	4	6	-9	1	1	1990	12	1	4	1	0	0
13	328	328	13	2213	328	11816	1	5	4	4	6	-9	1	6	1991	10	1	4	1	0	0
13	121	121	13	121	121	11674	1	1	0	1	2	-9	1	8	1960	41	1	11	0	1	-9
13	121	121	13	121	121	11674	1	2	1	32	32	-9	2	3	1961	40	1	9	0	0	0
13	121	121	13	121	121	11674	1	3	4	4	6	-9	1	6	1980	21	1	14	1	1	-9
13	121	121	13	121	121	11674	1	4	4	4	34	-9	1	6	1983	18	1	10	1	0	0
13	121	121	13	121	121	11674	1	5	4	4	6	-9	1	12	1985	16	1	6	1	0	0
13	270	270	13	3176	270	11784	1	1	0	1	2	-9	1	9	1955	46	1	14	0	0	0
13	270	270	13	3176	270	11784	1	2	1	32	32	-9	2	10	1958	43	1	14	0	1	-9
13	270	270	13	3176	270	11784	1	3	5	5	7	-9	2	6	1982	19	1	12	1	0	0
13	270	270	13	3176	270	11784	1	4	4	4	34	-9	1	8	1983	18	1	12	1	0	0
13	270	270	13	3176	270	11784	1	5	5	5	7	-9	2	2	1985	17	1	9	1	0	0
13	270	270	13	3176	270	11784	1	6	5	5	7	-9	2	9	1987	14	1	8	1	0	0
13	270	270	13	3176	270	11784	1	7	5	5	7	-9	2	3	1990	12	1	4	1	0	0
13	270	270	13	3176	270	11784	1	8	4	4	6	-9	1	10	1991	10	1	3	1	0	0
13	270	270	13	3176	270	11784	1	9	4	4	6	-9	1	11	1995	6	1	0	1	0	0
13	298	298	13	298	298	11797	1	1	0	1	2	-9	1	4	1958	43	1	6	0	1	-9
13	298	298	13	298	298	11797	1	2	1	32	32	-9	2	3	1955	46	1	6	0	1	-9
13	298	298	13	298	298	11797	1	3	5	5	7	-9	2	3	1979	23	1	18	0	1	-9
13	298	298	13	298	298	11797	1	4	5	5	34	-9	2	9	1983	18	1	12	1	1	-9
13	120	120	13	3172	120	11673	1	1	0	2	10	0	1	4	1930	71	1	15	0	1	-9
13	120	120	13	3172	120	11673	1	2	1	3	11	0	2	12	1932	69	1	10	0	0	0
13	120	120	13	3172	120	11673	1	3	5	32	32	-9	2	6	1957	44	1	14	0	1	-9
13	120	120	13	3172	120	11673	1	4	9	5	7	-9	2	5	1978	23	1	15	0	1	-9
13	120	120	13	3172	120	11673	1	5	9	5	7	-9	2	9	1979	22	1	11	0	0	0
13	120	120	13	3172	120	11673	1	6	8	4	34	-9	1	6	1983	18	1	11	0	1	-9
13	120	120	13	3172	120	11673	1	7	8	4	6	-9	1	7	1985	16	1	10	1	0	0
13	120	120	13	3172	120	11673	1	8	4	6	12	0	1	11	1959	42	1	10	0	0	0
13	215	215	13	215	215	11747	1	1	0	1	2	-9	1	2	1945	57	1	10	0	1	-9
13	215	215	13	215	215	11747	1	2	1	32	32	-9	2	6	1948	53	1	4	0	1	-9
13	215	215	13	215	215	11747	1	3	4	4	34	-9	1	8	1983	18	1	12	0	1	-9
13	215	215	13	215	215	11747	1	4	4	4	6	-9	1	1	1988	14	1	6	1	0	0
13	79	384	13	384	384	11866	1	1	0	1	2	-9	1	6	1949	52	1	9	0	1	-9
13	79	384	13	384	384	11866	1	2	1	32	32	-9	2	8	1963	38	1	8	0	0	0
13	79	384	13	384	384	11866	1	3	5	5	34	-9	2	11	1983	18	1	9	1	0	0
13	79	384	13	384	384	11866	1	4	4	4	6	-9	1	1	1987	15	1	0	0	0	0
13	243	243	305	4105	243	11766	1	1	0	1	2	-9	1	11	1951	50	1	11	0	1	-9
13	79	384	13	384	384	11866	1	5	4	4	6	-9	1	7	1988	13	1	4	1	0	0
13	243	243	305	4105	243	11766	1	2	1	32	32	-9	2	5	1953	48	1	13	0	1	-9
13	79	384	13	384	384	11866	1	6	5	5	7	-9	2	7	1988	13	1	5	1	0	0
13	243	243	305	4105	243	11766	1	3	5	5	7	-9	2	4	1978	23	1	15	1	0	0
13	243	243	305	4105	243	11766	1	4	4	4	34	-9	1	9	1983	18	1	11	1	0	0
13	79	384	13	384	384	11866	1	7	5	5	7	-9	2	7	1989	12	1	3	1	0	0
13	79	384	13	384	384	11866	1	8	4	4	6	-9	1	6	1992	9	1	2	1	0	0
13	243	243	305	4105	243	11766	1	5	17	2	10	0	1	12	1922	80	1	9	0	0	0
13	79	384	13	384	384	11866	1	9	4	4	6	-9	1	5	1995	6	1	0	1	0	0
13	243	243	305	4105	243	11766	1	6	18	3	11	0	2	4	1926	76	1	11	0	0	0
13	84	84	13	84	84	11649	1	1	0	1	2	-9	1	5	1954	47	1	6	0	1	-9
13	259	259	13	259	259	11775	1	1	0	1	2	-9	1	7	1950	51	1	6	0	1	-9
13	84	84	13	84	84	11649	1	2	1	32	32	-9	2	3	1965	36	1	6	0	0	0
13	259	259	13	259	259	11775	1	2	1	32	32	-9	2	12	1950	51	1	5	0	0	0
13	84	84	13	84	84	11649	1	3	4	4	34	-9	1	5	1983	18	1	11	0	0	0
13	259	259	13	259	259	11775	1	3	4	4	6	-9	1	3	1978	23	1	6	0	0	0
13	84	84	13	84	84	11649	1	4	4	4	6	-9	1	7	1984	17	1	11	0	0	0
13	84	84	13	84	84	11649	1	5	5	5	7	-9	2	5	1986	15	1	9	1	0	0
13	259	259	13	259	259	11775	1	4	5	5	34	-9	2	8	1983	18	1	11	0	0	1
13	84	84	13	84	84	11649	1	6	4	4	6	-9	1	8	2001	0	1	-9	-9	-9	-9
13	259	259	13	259	259	11775	1	5	5	5	7	0	2	4	1980	21	1	11	0	1	-9
13	259	259	13	259	259	11775	1	6	9	9	16	0	2	8	2001	0	1	-9	-9	-9	-9
13	222	222	282	3373	222	11752	1	1	0	1	2	-9	1	1	1943	59	1	14	0	1	-9
13	222	222	282	3373	222	11752	1	2	1	32	32	-9	2	9	1946	55	1	14	0	0	0
13	222	222	282	3373	222	11752	1	3	5	5	7	-9	2	1	1978	24	1	15	0	1	-9
13	222	222	282	3373	222	11752	1	4	4	4	34	-9	1	7	1983	18	1	10	1	0	0
13	222	222	282	3373	222	11752	1	5	5	5	7	-9	2	11	1985	16	1	10	1	0	0
13	86	86	13	86	86	11651	1	1	0	1	2	-9	1	3	1953	48	1	6	0	0	0
13	86	86	13	86	86	11651	1	2	1	32	32	-9	2	12	1958	43	1	6	0	1	-9
13	86	86	13	86	86	11651	1	3	5	5	7	-9	2	10	1993	8	1	1	1	0	0
13	86	86	13	86	86	11651	1	4	5	5	34	0	2	6	1983	18	1	11	0	0	0
13	86	86	13	86	86	11651	1	5	8	8	4	0	1	8	2001	0	1	-9	-9	-9	-9
13	86	86	13	86	86	11651	1	6	9	9	16	0	2	12	2000	1	1	-9	-9	-9	-9
13	79	79	13	79	79	11645	1	1	0	1	38	-9	1	2	1961	41	1	11	0	1	-9
13	79	79	13	79	79	11645	1	2	1	32	32	-9	2	5	1964	37	1	8	0	1	-9
13	79	79	13	79	79	11645	1	3	4	4	41	-9	1	6	1995	6	1	0	1	0	0
13	79	79	13	79	79	11645	1	4	5	5	42	-9	2	4	2001	0	1	-9	-9	-9	-9
13	79	79	13	79	79	11645	1	5	39	4	34	-9	1	5	1983	18	1	10	1	1	-9
13	79	79	13	79	79	11645	1	6	40	5	7	-9	2	4	1985	16	1	10	1	0	0
13	79	79	13	79	79	11645	1	7	40	5	7	-9	2	1	1987	15	1	5	1	0	0
13	106	106	13	106	106	11662	1	1	0	1	2	-9	1	10	1952	49	1	11	0	1	-9
13	106	106	13	106	106	11662	1	2	1	32	32	-9	2	5	1954	47	1	3	0	1	-9
13	106	106	13	106	106	11662	1	3	4	4	6	-9	1	4	1975	26	1	11	0	1	-9
13	106	106	13	106	106	11662	1	4	4	4	34	-9	1	5	1983	18	1	8	0	1	-9
13	106	106	13	106	106	11662	1	5	5	5	7	-9	2	1	1988	14	1	6	1	1	-9
13	106	106	13	106	106	11662	1	6	4	4	6	-9	1	6	1990	11	1	4	1	0	0
13	106	106	13	106	106	11662	1	7	19	19	21	0	1	5	1978	23	1	10	0	1	-9
13	106	106	13	106	106	11662	1	8	5	5	7	0	2	5	1977	24	1	14	0	1	-9
13	106	106	13	106	106	11662	1	9	8	8	15	0	1	10	2001	0	1	-9	-9	-9	-9
13	470	470	13	470	470	11945	1	1	0	1	2	-9	1	12	1957	44	1	8	0	1	-9
13	470	470	13	470	470	11945	1	2	1	32	32	-9	2	4	1960	41	1	3	0	1	-9
13	470	470	13	470	470	11945	1	3	4	4	34	-9	1	3	1984	18	1	5	0	0	1
13	470	470	13	470	470	11945	1	4	5	5	7	-9	2	7	1986	15	1	9	1	0	0
13	408	408	13	408	408	11886	1	1	0	1	2	-9	1	4	1938	63	1	12	0	1	-9
13	408	408	13	408	408	11886	1	2	1	32	32	-9	2	6	1945	56	1	6	0	1	-9
13	408	408	13	408	408	11886	1	3	4	4	6	-9	1	12	1973	28	1	6	0	1	-9
13	470	470	13	470	470	11945	1	5	4	4	6	-9	1	10	1989	12	1	4	1	0	0
13	408	408	13	408	408	11886	1	4	5	5	7	-9	2	4	1976	25	1	11	0	0	1
13	408	408	13	408	408	11886	1	5	4	4	6	-9	1	4	1981	20	1	8	0	0	0
13	408	408	13	408	408	11886	1	6	4	4	34	-9	1	11	1983	18	1	11	0	0	0
13	408	408	13	408	408	11886	1	7	4	4	6	-9	1	8	1988	13	1	5	1	0	0
13	408	408	13	408	408	11886	1	8	5	5	7	0	2	9	1966	35	1	6	0	1	-9
13	408	408	13	408	408	11886	1	9	9	9	16	0	2	4	1989	12	1	6	1	0	0
13	408	408	13	408	408	11886	1	10	9	9	16	0	2	4	1990	11	1	5	1	0	0
13	408	408	13	408	408	11886	1	11	9	9	16	0	2	4	1991	10	1	3	1	0	0
13	408	408	13	408	408	11886	1	12	9	9	16	0	2	10	1995	6	1	0	1	0	0
13	408	408	13	408	408	11886	1	13	9	9	16	0	2	5	1997	4	1	-9	-9	-9	-9
13	451	451	13	3268	451	11926	1	1	0	1	38	-9	1	7	1943	58	1	6	0	1	-9
13	451	451	13	3268	451	11926	1	2	1	32	32	-9	2	6	1964	37	1	6	0	0	0
13	451	451	13	3268	451	11926	1	3	5	5	7	-9	2	9	1996	5	1	-9	-9	-9	-9
13	451	451	13	3268	451	11926	1	4	39	4	6	-9	1	2	1982	20	1	6	0	1	-9
13	451	451	13	3268	451	11926	1	5	40	5	34	-9	2	2	1984	18	1	9	0	1	-9
13	451	451	13	3268	451	11926	1	6	40	5	7	-9	2	7	1985	16	1	8	0	0	0
13	43	43	13	3159	43	11635	1	1	0	1	2	-9	1	4	1956	45	1	13	0	1	-9
13	43	43	13	3159	43	11635	1	2	1	32	32	-9	2	6	1957	44	1	11	0	1	-9
13	43	43	13	3159	43	11635	1	3	5	5	7	-9	2	9	1981	20	1	11	1	0	0
13	43	43	13	3159	43	11635	1	4	5	5	34	-9	2	5	1983	18	1	11	0	1	-9
13	43	43	13	3159	43	11635	1	5	5	5	7	-9	2	7	1986	15	1	11	1	0	0
13	43	43	13	3159	43	11635	1	6	17	2	10	0	1	1	1932	70	1	6	0	1	-9
13	43	43	13	3159	43	11635	1	7	18	3	11	0	2	2	1936	66	1	6	0	0	0
13	43	43	13	3159	43	11635	1	8	21	6	12	0	1	4	1967	34	1	11	0	1	-9
13	43	43	13	3159	43	11635	1	9	20	20	22	0	2	1	1982	20	1	11	0	0	0
13	43	43	13	3159	43	11635	1	10	9	9	16	0	2	1	2001	1	1	-9	-9	-9	-9
13	43	43	13	3159	43	11635	1	11	30	30	30	1	1	12	1971	30	1	10	0	-7	-7
13	464	464	13	3004	464	11939	2	1	0	1	38	-9	1	8	1962	39	1	11	0	1	-9
13	464	464	13	3004	464	11939	2	2	1	32	32	-9	2	9	1962	39	1	10	0	0	1
13	464	464	13	3004	464	11939	2	3	39	4	6	-9	1	7	1994	7	1	0	0	0	0
13	209	209	13	209	209	11741	1	1	0	1	2	-9	1	9	1950	51	1	10	0	1	-9
13	209	209	13	209	209	11741	1	2	1	32	32	-9	2	12	1945	56	1	5	0	1	-9
13	209	209	13	209	209	11741	1	3	4	4	6	-9	1	11	1976	25	1	8	0	0	0
13	209	209	13	209	209	11741	1	7	5	5	7	-9	2	11	1985	16	1	6	1	0	0
13	209	209	13	209	209	11741	1	8	4	4	6	-9	1	10	1989	12	1	2	0	0	0
13	209	209	13	209	209	11741	1	4	4	4	6	-9	1	7	1979	22	1	9	0	0	0
13	209	209	13	209	209	11741	1	5	4	4	6	-9	1	12	1980	21	1	8	0	0	0
13	68	68	13	68	68	11637	1	1	0	1	2	-9	1	10	1953	48	1	11	0	1	-9
13	68	68	13	68	68	11637	1	2	1	32	32	-9	2	2	1960	42	1	11	0	0	0
13	68	68	13	68	68	11637	1	3	5	5	7	-9	2	4	1979	22	1	12	0	0	1
13	68	68	13	68	68	11637	1	4	4	4	6	-9	1	12	1980	21	1	11	0	0	0
13	68	68	13	68	68	11637	1	5	4	4	34	-9	1	5	1983	18	1	13	1	0	0
13	351	351	13	351	351	11836	1	1	0	1	2	-9	1	3	1956	46	1	6	0	1	-9
13	351	351	13	351	351	11836	1	2	1	32	32	-9	2	10	1955	46	1	11	0	1	-9
13	351	351	13	351	351	11836	1	3	4	4	34	-9	1	11	1983	18	1	11	0	0	0
13	351	351	13	351	351	11836	1	4	5	5	7	-9	2	9	1986	15	1	9	1	0	0
13	351	351	13	351	351	11836	1	5	4	4	6	-9	1	10	1997	4	1	-9	-9	-9	-9
13	351	351	13	351	351	11836	1	6	5	5	7	0	2	8	1980	21	1	12	0	0	0
13	351	351	13	351	351	11836	1	7	8	8	15	0	1	12	2001	0	1	-9	-9	-9	-9
13	350	350	13	350	350	11835	1	1	0	1	2	-9	1	12	1957	44	1	10	0	1	-9
13	350	350	13	350	350	11835	1	2	1	32	32	-9	2	2	1960	42	1	9	0	0	0
13	350	350	13	350	350	11835	1	3	5	5	7	-9	2	7	1982	19	1	12	0	0	0
13	350	350	13	350	350	11835	1	4	5	5	34	-9	2	8	1983	18	1	11	0	0	0
13	350	350	13	350	350	11835	1	5	4	4	6	-9	1	1	1985	17	1	8	1	0	0
13	350	350	13	350	350	11835	1	6	5	5	7	-9	2	8	1986	15	1	9	1	0	0
13	350	350	13	350	350	11835	1	7	5	5	7	-9	2	12	1987	14	1	8	1	0	0
13	350	350	13	350	350	11835	1	8	4	4	6	-9	1	2	1991	11	1	3	1	0	0
13	350	350	13	350	350	11835	1	9	5	5	7	-9	2	5	1992	9	1	2	1	0	0
13	350	350	13	350	350	11835	1	10	5	5	7	-9	2	4	2001	0	1	-9	-9	-9	-9
13	377	377	13	377	377	11860	1	1	0	1	2	-9	1	6	1955	46	1	10	0	1	-9
13	377	377	13	377	377	11860	1	2	1	32	32	-9	2	12	1960	41	1	8	0	0	0
13	377	377	13	377	377	11860	1	3	4	4	6	-9	1	11	1979	22	1	14	1	0	0
13	377	377	13	377	377	11860	1	4	5	5	7	-9	2	7	1982	19	1	13	1	0	0
13	377	377	13	377	377	11860	1	5	4	4	34	-9	1	10	1983	18	1	12	1	0	0
13	377	377	13	377	377	11860	1	6	4	4	6	-9	1	6	1987	14	1	8	1	0	0
13	377	377	13	377	377	11860	1	7	4	4	6	-9	1	2	2000	2	1	-9	-9	-9	-9
13	374	374	13	2216	374	11857	1	1	0	1	2	-9	1	4	1961	40	1	12	0	1	-9
13	374	374	13	2216	374	11857	1	2	1	32	32	-9	2	1	1961	41	1	11	0	0	0
13	374	374	13	2216	374	11857	1	3	5	5	34	-9	2	9	1983	18	1	11	0	1	-9
13	374	374	13	2216	374	11857	1	4	5	5	7	-9	2	1	1986	16	1	10	1	0	0
13	374	374	13	2216	374	11857	1	5	4	4	6	-9	1	10	1987	14	1	8	1	0	0
13	374	374	13	2216	374	11857	1	6	5	5	7	-9	2	5	1989	12	1	6	1	0	0
13	374	374	13	2216	374	11857	1	7	4	4	6	-9	1	11	1990	11	1	3	1	0	0
13	374	374	13	2216	374	11857	1	8	4	4	6	-9	1	11	1992	9	1	2	1	0	0
13	374	374	13	2216	374	11857	1	9	5	5	7	-9	2	8	1996	5	1	-9	-9	-9	-9
13	374	374	13	2216	374	11857	1	10	15	26	14	0	1	8	1982	19	1	11	0	0	0
13	263	263	13	2585	263	11779	1	1	0	1	2	-9	1	11	1959	42	1	3	0	1	-9
13	263	263	13	2585	263	11779	1	2	1	32	32	-9	2	11	1963	38	1	8	0	1	-9
13	263	263	13	2585	263	11779	1	3	5	5	34	-9	2	9	1983	18	1	12	1	0	0
13	263	263	13	2585	263	11779	1	4	5	5	7	-9	2	6	1986	15	1	9	1	0	0
13	263	263	13	2585	263	11779	1	5	4	4	6	-9	1	1	1988	14	1	6	1	0	0
13	263	263	13	2585	263	11779	1	6	4	4	6	-9	1	2	1997	5	1	-9	-9	-9	-9
13	263	263	13	2585	263	11779	1	7	4	4	6	-9	1	12	2001	0	1	-9	-9	-9	-9
13	287	287	13	287	287	11792	1	1	0	1	2	-9	1	3	1944	58	1	5	0	0	0
13	287	287	13	287	287	11792	1	2	1	32	32	-9	2	5	1952	49	1	6	0	1	-9
13	287	287	13	287	287	11792	1	3	4	4	6	-9	1	7	1975	26	1	15	0	0	0
